x,y,ultra_blue,blue,green,red,nir,swir1,swir2,d-ndvi
548247.6,2333170,0.06921125,0.07171374999999999,0.10754624999999998,0.12660375,0.299345,0.36313125,0.2307875,-0.043771982192993164
556114.6,2322285,0.041669999999999985,0.05019499999999999,0.08039000000000002,0.07021499999999997,0.30371750000000003,0.2319425,0.12722250000000002,-0.0267333984375
548284.2,2325349,0.06940375000000001,0.07619625,0.13356125,0.1603875,0.2566925,0.38029124999999997,0.22860125,-0.0021560192108154297
565966.6,2342237,0.05353625000000001,0.05613499999999999,0.08463874999999998,0.08106375000000002,0.37000625000000004,0.22405,0.12924375,0.0023374557495117188
533087.3,2324001,0.140285,0.1657225,0.2444,0.301325,0.38829375,0.4792225,0.30796625,0.011627554893493652
538545,2334280,0.032278749999999995,0.038067500000000004,0.06266625,0.04908124999999999,0.2915625,0.17255625000000002,0.09453875,0.0039771199226379395
541476.8,2335068,0.07964750000000001,0.088805,0.13595374999999998,0.1662725,0.26648249999999996,0.3214,0.222675,0.02575218677520752
557189.9,2322208,0.0657875,0.07757125000000001,0.14727,0.21024500000000002,0.27383875,0.3256075,0.21729874999999998,-0.006996810436248779
585108.2,2347294,0.041615,0.0537975,0.09708250000000002,0.08324999999999999,0.27163875000000004,0.18295125,0.09462124999999999,-0.03788614273071289
593538.2,2342433,0.082425,0.09489625000000002,0.13485375,0.17153875000000002,0.24972125,0.26585000000000003,0.24149875,-0.04727727174758911
585044.9,2347487,0.04877875000000001,0.057771249999999996,0.09947500000000001,0.09638125,0.28566375,0.2341975,0.14819125,-0.08457708358764648
555907.8,2323946,0.07207125,0.07570125,0.13757625,0.17607625,0.23418375,0.31862250000000003,0.2072475,-0.02084904909133911
553068.4,2336716,0.02187,0.026957499999999995,0.05740000000000001,0.036995,0.36286999999999997,0.16074500000000003,0.06787749999999998,0.03638768196105957
542263,2331689,0.06360125,0.07359749999999998,0.12727750000000002,0.15479125000000002,0.24486750000000002,0.31902125,0.21454875,0.02534961700439453
548387.4,2327212,0.0687025,0.07300625,0.122135,0.1583525,0.26519000000000004,0.34965625,0.235875,0.005781710147857666
550140.1,2336624,0.10295375000000001,0.11040625000000001,0.15022625,0.2185225,0.32120750000000003,0.4347825,0.319475,0.024381816387176514
564783.1,2317284,0.05602499999999999,0.06542999999999999,0.1046725,0.09834749999999998,0.3139475,0.212995,0.12939499999999998,0.04604470729827881
580216.3,2324291,0.053027500000000005,0.06468750000000001,0.09699999999999998,0.0963675,0.21376499999999998,0.1992175,0.15626250000000003,0.02642279863357544
563089.3,2317766,0.04322374999999999,0.0507725,0.081765,0.0782175,0.3132875,0.17923875,0.103985,-0.01678466796875
575928.3,2321626,0.10505750000000003,0.12097999999999998,0.1430075,0.11759750000000002,0.17796,0.24398750000000002,0.274375,-0.005994319915771484
555304.7,2322285,0.04008874999999999,0.05166625,0.091445,0.08978125,0.284825,0.212445,0.12401875000000001,0.009846508502960205
552454.3,2319919,0.09269625000000001,0.10005249999999999,0.16289,0.20277875,0.31247625,0.370625,0.270855,-0.014178931713104248
572860.1,2319555,0.04539625,0.05022249999999999,0.08659125000000001,0.07592125,0.32481,0.2071375,0.11779,-0.019092023372650146
553488.6,2326515,0.04864124999999998,0.06071374999999998,0.10809625,0.12467874999999998,0.2771525,0.27529625,0.19254875000000002,-0.005688607692718506
568822,2299519,0.06677749999999999,0.07478000000000001,0.1202375,0.13250250000000002,0.298245,0.2515775,0.14892,-0.02527374029159546
555989.7,2323298,0.05760625,0.0683175,0.12866625,0.16313750000000002,0.26710125,0.31379625000000005,0.212335,0.05737176537513733
586267.2,2357274,0.055035,0.05904999999999999,0.09502,0.10390250000000001,0.22955000000000003,0.23956,0.14727,0.00036275386810302734
